ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
2,Food-Spice,Cumin powder,Lead,2.4,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,01/04/2011 12:00:00 AM,
4,Food-Spice,Masala,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/04/2011 12:00:00 AM,
5,Food-Candy,Tamarind Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/06/2011 12:00:00 AM,
6,Food-Candy,Lucas Muecas candy,Lead,-1,ppm,Lucas Muecas,MEXICO,01/06/2011 12:00:00 AM,
7,Jewelry,Amulet (Tabeez),Lead,580000,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/13/2011 12:00:00 AM,
8,Jewelry,String for amulet/tabeez,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/13/2011 12:00:00 AM,
9,Cosmetics,Surma (Hashmi),Lead,410000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,01/19/2011 12:00:00 AM,
10,Food-Spice,Powdered red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
11,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
12,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,
14,Food-Spice,Red pepper spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/19/2011 12:00:00 AM,
15,Food-Spice,Turmeric powder,Lead,610,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/21/2011 12:00:00 AM,
16,Food-Spice,Chili powder,Lead,3.8,ppm,UNKNOWN OR NOT STATED,BANGLADESH,01/21/2011 12:00:00 AM,
17,Dietary Supplement/Medications/Remedy,Pregnita (Ayurvedic),Lead,12000,ppm,Ajmera Pharmaceuticals PVT. LTD.,INDIA,01/24/2011 12:00:00 AM,
18,Dietary Supplement/Medications/Remedy,Calcimax 500,Lead,2.7,ppm,Meyer Vitabiotics,INDIA,01/24/2011 12:00:00 AM,
19,Food-Spice,Turmeric,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,
20,Food-Spice,Red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,
21,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lays,DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,
22,Food Other,Cheetos Crunchy,Lead,-1,ppm,Frito Lay,DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,
23,Cosmetics,Johnson & Johnson Baby Powder,Lead,-1,ppm,Dipsoduske oleh,INDONESIA,02/07/2011 12:00:00 AM,
24,Food Other,Dulces Vero,Lead,-1,ppm,Viacom,MEXICO,02/08/2011 12:00:00 AM,
25,Food-Spice,Crevette fish bouillon,Lead,-1,ppm,Nestle,GUINEA,02/08/2011 12:00:00 AM,
26,Jewelry,Amulet/charm,Lead,500000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
27,Jewelry,Fashion hair clip,Lead,330000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
28,Tableware/Pottery,Clay pot,Cadmium,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
29,Tableware/Pottery,Clay pot,Lead,6.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,
30,Food-Spice,Chilli powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/15/2011 12:00:00 AM,
31,Toys/Children's Products,Red Race Car (Rust-Eze 95),Lead,73,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/18/2011 12:00:00 AM,
32,Food-Spice,Soup seasoning,Lead,-1,ppm,Prodravka,CROATIA (local name: Hrvatska),02/22/2011 12:00:00 AM,
33,Food Other,Baking yeast,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/22/2011 12:00:00 AM,
34,Food-Spice,Coriander powder,Lead,-1,ppm,Square Consumer Products,BANGLADESH,03/05/2011 12:00:00 AM,
35,Food-Spice,Turmeric powder,Lead,760,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/05/2011 12:00:00 AM,
36,Cosmetics,Surma (Hashmi),Lead,610000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/06/2011 12:00:00 AM,
37,Jewelry,Children's jewelry,Lead,38,ppm,UNKNOWN OR NOT STATED,CHINA,03/09/2011 12:00:00 AM,
38,Jewelry,Children's jewelry set,Lead,74,ppm,UNKNOWN OR NOT STATED,CHINA,03/09/2011 12:00:00 AM,
39,Jewelry,Children's jewelry set (MSA),Lead,180,ppm,UNKNOWN OR NOT STATED,CHINA,03/09/2011 12:00:00 AM,
40,Jewelry,Earrings (Lady bug red/black ),Lead,69,ppm,UNKNOWN OR NOT STATED,KOREA - DEMOCRATIC PEOPLE'S REPUBLIC OF,03/09/2011 12:00:00 AM,
41,Jewelry,Metal charms -butterfly,Lead,870000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/09/2011 12:00:00 AM,
42,Jewelry,Metal painted charms - bear shaped,Lead,530000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/09/2011 12:00:00 AM,
43,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/10/2011 12:00:00 AM,
44,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/10/2011 12:00:00 AM,
45,Food-Spice,Coriander powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/10/2011 12:00:00 AM,
46,Food-Spice,Tea masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/10/2011 12:00:00 AM,
47,Dietary Supplement/Medications/Remedy,Adusol (Ayurvedic),Lead,0.015,ppm,Ajanta Medicals PVT. LTD,INDIA,03/10/2011 12:00:00 AM,
48,Dietary Supplement/Medications/Remedy,Omkar Adulsa Compound (Ayurvedic),Lead,0.16,ppm,Omkara,INDIA,03/10/2011 12:00:00 AM,
49,Food-Spice,Black cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/16/2011 12:00:00 AM,
50,Food-Spice,Ajwain,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/16/2011 12:00:00 AM,
51,Food-Spice,Curry powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/16/2011 12:00:00 AM,
52,Food-Spice,Turmeric powder,Lead,-1,ppm,National Foods Limited,PAKISTAN,03/16/2011 12:00:00 AM,
53,Food-Candy,Dulces Vero Mango,Lead,0.44,ppm,Dulces Vero,MEXICO,03/17/2011 12:00:00 AM,
54,Toys/Children's Products,Painted Metal Toy School Bus,Lead,41,ppm,Buddy L Corp,MACAU,03/17/2011 12:00:00 AM,
55,Toys/Children's Products,Painted wooden toy top,Lead,170,ppm,UNKNOWN OR NOT STATED,MEXICO,03/17/2011 12:00:00 AM,
56,Food-Spice,Cumin powder,Lead,4.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/22/2011 12:00:00 AM,
57,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/22/2011 12:00:00 AM,
58,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/22/2011 12:00:00 AM,
59,Dietary Supplement/Medications/Remedy,Cetamol - liquid pain & fever reliever,Lead,-1,ppm,Cetamol,JAMAICA,03/24/2011 12:00:00 AM,
60,Dietary Supplement/Medications/Remedy,Infants Gripe Mixture,Lead,-1,ppm,P.A. Benjamin Manufacturing Co. LTD,JAMAICA,03/24/2011 12:00:00 AM,
61,Dietary Supplement/Medications/Remedy,Children's DPH decongestant,Lead,-1,ppm,Federal Pharmaceutical,JAMAICA,03/24/2011 12:00:00 AM,
62,Food-Spice,Georgian spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,03/25/2011 12:00:00 AM,
63,Food-Spice,Georgian spice,Lead,0.7,ppm,UNKNOWN OR NOT STATED,GEORGIA,03/25/2011 12:00:00 AM,
64,Food-Spice,Georgian spice,Lead,1.5,ppm,UNKNOWN OR NOT STATED,GEORGIA,03/25/2011 12:00:00 AM,
65,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,03/25/2011 12:00:00 AM,
66,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/25/2011 12:00:00 AM,
67,Food Other,Fruit preserved mangoes cooked in clay pot,Lead,350,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/28/2011 12:00:00 AM,
68,Food-Spice,Red chilli powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/29/2011 12:00:00 AM,
69,Food-Spice,Coriander seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,03/29/2011 12:00:00 AM,
70,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Arsenic,-1,ppm,Dabur India LTD.,INDIA,03/30/2011 12:00:00 AM,
71,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Lead,29,ppm,Dabur India LTD.,INDIA,03/30/2011 12:00:00 AM,
72,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Mercury,31000,ppm,Dabur India LTD.,INDIA,03/30/2011 12:00:00 AM,
73,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Arsenic,1700,ppm,Vyas Pharmaceuticals,INDIA,03/30/2011 12:00:00 AM,
74,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Lead,9400,ppm,Vyas Pharmaceuticals,INDIA,03/30/2011 12:00:00 AM,
75,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Mercury,70000,ppm,Vyas Pharmaceuticals,INDIA,03/30/2011 12:00:00 AM,
76,Tableware/Pottery,Miniature clay pot (ingested),Lead,25000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/01/2011 12:00:00 AM,
77,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/04/2011 12:00:00 AM,
78,Food-Spice,Turmeric,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/04/2011 12:00:00 AM,
79,Food-Spice,Safflower-yellow flower,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/04/2011 12:00:00 AM,
80,Toys/Children's Products,Yellow plastic fish with green fin,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,04/06/2011 12:00:00 AM,
81,Food-Spice,Ginger powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
82,Food Other,Orange food coloring,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
83,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
84,Food-Spice,Oregano,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
85,Food Other,Tea,Lead,3.2,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
86,Food-Spice,Curry powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
87,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
88,Dietary Supplement/Medications/Remedy,Purple flower,Lead,-1,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,
89,Food-Candy,El Chavo Lollipop,Lead,-1,ppm,Dulces Vero,MEXICO,04/07/2011 12:00:00 AM,
90,Food-Spice,Georgian spice (Yellow flour),Lead,14000,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
91,Food-Spice,Uckho Suneli,Lead,8.5,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
92,Food-Spice,Chili powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
93,Food-Spice,Kinzi spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
94,Food-Spice,Kondari green spice,Lead,3.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
95,Food-Spice,Svanuri salt,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
96,Food-Spice,Kinzi Marilit,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,04/07/2011 12:00:00 AM,
97,Food-Spice,Jeera (Cumin),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 12:00:00 AM,
98,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 12:00:00 AM,
99,Food-Spice,Unlabeled spice,Lead,-1,ppm,Preema International LTD,UNITED KINGDOM,04/11/2011 12:00:00 AM,
100,Food-Spice,Dhania (Coriander powder),Lead,2.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 12:00:00 AM,
101,Food-Spice,Paprika,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/11/2011 12:00:00 AM,
102,Toys/Children's Products,Painted wooden toy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/14/2011 12:00:00 AM,
103,Food Other,Dried Fish,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/14/2011 12:00:00 AM,
104,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
105,Food-Spice,Chili powder,Lead,2.2,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
106,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
107,Food-Spice,Cardamon | Chili pepper | Cinnamon,Lead,0.91,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
108,Food-Spice,Turmeric powder,Lead,1.5,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
109,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/14/2011 12:00:00 AM,
110,Food Other,Olla Azteca Tamarind Pulp,Lead,-1,ppm,El Azteca de Mexico,MEXICO,04/15/2011 12:00:00 AM,
111,Food Other,Donitas (chili and lemon fried flour chips),Lead,-1,ppm,Totis,MEXICO,04/15/2011 12:00:00 AM,
112,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/15/2011 12:00:00 AM,
113,Food-Spice,Turmeric,Lead,5.5,ppm,Radhuni,BANGLADESH,04/18/2011 12:00:00 AM,
114,Food-Spice,Chili powder,Lead,-1,ppm,Radhuni,BANGLADESH,04/18/2011 12:00:00 AM,
115,Food-Spice,Cumin Powder,Lead,-1,ppm,Radhuni,BANGLADESH,04/18/2011 12:00:00 AM,
116,Food Other,Ambroxol Hydrochloride BP,Lead,-1,ppm,Square Pharmacuetical,BANGLADESH,04/18/2011 12:00:00 AM,
117,Dietary Supplement/Medications/Remedy,Ketotifen 1 mg,Lead,-1,ppm,ACI Limited,BANGLADESH,04/18/2011 12:00:00 AM,
118,Dietary Supplement/Medications/Remedy,Zovia Kids Multivitamin Syrup,Lead,-1,ppm,OPSONIN PHARMA LIMITED,BANGLADESH,04/18/2011 12:00:00 AM,
119,Dietary Supplement/Medications/Remedy,Montelukast 4mg,Lead,-1,ppm,Acme LA,BANGLADESH,04/18/2011 12:00:00 AM,
120,Food-Spice,Chili powder,Lead,2.1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,
121,Food-Spice,Coriander powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/19/2011 12:00:00 AM,
122,Food-Spice,Cumin powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,
123,Food-Spice,Turmeric powder,Lead,2.2,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,
124,Food-Spice,Turmeric powder,Lead,1300,ppm,UNKNOWN OR NOT STATED,BANGLADESH,04/19/2011 12:00:00 AM,
125,Food Other,Dried fish,Lead,2.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/19/2011 12:00:00 AM,
126,Jewelry,Bracelet,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/19/2011 12:00:00 AM,
127,Jewelry,Bracelet,Lead,1500,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/19/2011 12:00:00 AM,
128,Food Other,Red jelly filled cookie,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,04/20/2011 12:00:00 AM,
129,Food Other,Canelitas cinnamon cookies,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,04/20/2011 12:00:00 AM,
130,Food-Spice,Chili powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,04/22/2011 12:00:00 AM,
131,Food-Spice,Cumin powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,04/22/2011 12:00:00 AM,
132,Food-Spice,Curry powder,Lead,-1,ppm,"Square Consumer Products, Ltd",BANGLADESH,04/22/2011 12:00:00 AM,
133,Food-Spice,Coriander powder,Lead,-1,ppm,"Square Consumer Products, Ltd.",BANGLADESH,04/22/2011 12:00:00 AM,
134,Food Other,Brown bark like material,Lead,330,ppm,UNKNOWN OR NOT STATED,CHINA,04/26/2011 12:00:00 AM,
135,Food-Spice,Rhizoma simi lacis glabrae,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/26/2011 12:00:00 AM,
136,Food Other,Cordyceps,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,04/26/2011 12:00:00 AM,
137,Food Other,Off-white wood like material for soup,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,04/26/2011 12:00:00 AM,
138,Food-Spice,Almonds,Lead,-1,ppm,Yiyuan,UNKNOWN OR NOT STATED,04/26/2011 12:00:00 AM,
139,Toys/Children's Products,Copper colored painted ceramics,Lead,25000,ppm,UNKNOWN OR NOT STATED,MEXICO,04/28/2011 12:00:00 AM,
140,Toys/Children's Products,Painted green and tan ceramic toy,Lead,2300,ppm,UNKNOWN OR NOT STATED,MEXICO,04/28/2011 12:00:00 AM,
141,Toys/Children's Products,Painted brown ceramic miniature pot,Lead,8900,ppm,UNKNOWN OR NOT STATED,MEXICO,04/28/2011 12:00:00 AM,
142,Food Other,"Leche galletas (package of sweet crackers, white)",Lead,-1,ppm,Grupo Malla,DOMINICAN REPUBLIC,04/28/2011 12:00:00 AM,
143,Food Other,Tan cookies,Lead,-1,ppm,UNKNOWN OR NOT STATED,MEXICO,04/28/2011 12:00:00 AM,
144,Food-Spice,Kashmiri Chili powder,Lead,12,ppm,Eastern Condiments LTD,INDIA,04/28/2011 12:00:00 AM,
145,Food-Spice,Coriander powder,Lead,8.3,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,
146,Food-Spice,Curry powder,Lead,1.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,
147,Food-Spice,Masala,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,04/28/2011 12:00:00 AM,
148,Food-Spice,Suneli,Lead,14000,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/03/2011 12:00:00 AM,
149,Food Other,Tamarind,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/03/2011 12:00:00 AM,
150,Food Other,Chocolate,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/03/2011 12:00:00 AM,
151,Dietary Supplement/Medications/Remedy,Festal (Name in Russian),Lead,-1,ppm,Aventis,UNKNOWN OR NOT STATED,05/04/2011 12:00:00 AM,
152,Food-Spice,Utskho (Fenugreak),Lead,34,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/04/2011 12:00:00 AM,
153,Food-Spice,Kondari (Thyme),Lead,6.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/04/2011 12:00:00 AM,
154,Food-Spice,Svanuri salt,Lead,35,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
155,Food-Spice,Khmeli- spice medley,Lead,13,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
156,Dietary Supplement/Medications/Remedy,Multivitamin,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
157,Cosmetics,Ruby Rose Deluxe Makeup Kit (Eyeshadow),Lead,11,ppm,Ruby Rose Cosmetique S.A.R.L.,GEORGIA,05/04/2011 12:00:00 AM,
158,Cosmetics,Face powder,Lead,2.1,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
159,Cosmetics,Lipstick,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
160,Food-Spice,Chili pepper,Lead,6.2,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
161,Food-Spice,Georgian spice,Lead,30,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
162,Food-Spice,Kinzi,Lead,20,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
163,Food-Spice,Georgian salt,Lead,43,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
164,Food-Spice,Red pepper,Lead,9.9,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
165,Food-Spice,Georgian spice (yellow flower),Lead,1700,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
166,Food-Spice,Georgian spice,Lead,11000,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
167,Food-Spice,Georgian spice,Lead,2500,ppm,UNKNOWN OR NOT STATED,GEORGIA,05/04/2011 12:00:00 AM,
168,Food-Spice,Turmeric powder,Lead,4.7,ppm,Shad USA,BANGLADESH,05/05/2011 12:00:00 AM,
169,Food-Spice,Turmeric powder,Lead,-1,ppm,Shad,BANGLADESH,05/05/2011 12:00:00 AM,
170,Cosmetics,Kohl,Lead,440000,ppm,UNKNOWN OR NOT STATED,MOROCCO,05/05/2011 12:00:00 AM,
171,Toys/Children's Products,Chalk,Lead,3,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,
172,Jewelry,Jewelry,Lead,15,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,
173,Jewelry,Jewelry,Lead,7.5,ppm,Purchase Name,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,
174,Jewelry,Jewelry,Lead,830000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/17/2011 12:00:00 AM,
175,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Arsenic,2,ppm,Shree Baidyanath Ayurved,INDIA,05/17/2011 12:00:00 AM,
176,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Lead,7.7,ppm,Shree Baidyanath Ayurved,INDIA,05/17/2011 12:00:00 AM,
177,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Mercury,2.2,ppm,Shree Baidyanath Ayurved,INDIA,05/17/2011 12:00:00 AM,
178,Dietary Supplement/Medications/Remedy,Dehshuddhi (Ayurvedic),Arsenic,-1,ppm,Amit Pharmacy,INDIA,05/17/2011 12:00:00 AM,
179,Dietary Supplement/Medications/Remedy,Dehshuddhi (Ayurvedic),Lead,2,ppm,Amit Pharmacy,INDIA,05/17/2011 12:00:00 AM,
180,Dietary Supplement/Medications/Remedy,Dehshuddhi (Ayurvedic),Mercury,5,ppm,Amit Pharmacy,INDIA,05/17/2011 12:00:00 AM,
181,Dietary Supplement/Medications/Remedy,Bal Sathi Children's Capillary (Ayurvedic),Arsenic,-1,ppm,M/S. Vaidya Jagannath G. Dwivedi,INDIA,05/17/2011 12:00:00 AM,
182,Dietary Supplement/Medications/Remedy,Bal Sathi Children's Capillary (Ayurvedic),Lead,0.79,ppm,M/S. Vaidya Jagannath G. Dwivedi,INDIA,05/17/2011 12:00:00 AM,
183,Dietary Supplement/Medications/Remedy,Bal Sathi Children's Capillary (Ayurvedic),Mercury,0.1,ppm,M/S. Vaidya Jagannath G. Dwivedi,INDIA,05/17/2011 12:00:00 AM,
184,Food-Spice,Turmeric powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,05/17/2011 12:00:00 AM,
185,Food Other,Chinese Mushrooms,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
186,Food Other,Chinese yams (dried),Lead,2.2,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
187,Food Other,Chinese Pearl Barley,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
188,Food Other,Euryale Seeds,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
189,Food Other,Dried Lily Bulb,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
190,Food Other,Dried Enoki Mushrooms,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
191,Food Other,Black cloud Ears Fungus,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,05/20/2011 12:00:00 AM,
